GEOID,scenario_order,scenario,annual_rate,income_threshold,unaffordable_hh,total_hh_weighted,sum_bracket_hh,mhi,pct_unaffordable,mhi_pct_spent,mhi_unaffordable
06029003002,2,FY 26/27,475,19000,140.20944188837944,870.0000000000108,870.0000000000108,40985,16.116027803261805,1.1589605953397584,FALSE
06029003002,3,FY 27/28,575,23000,205.41068213642984,870.0000000000108,870.0000000000108,40985,23.610423234072105,1.402952299621813,FALSE
06029003002,4,FY 28/29,675,27000,278.6075215043043,870.0000000000108,870.0000000000108,40985,32.02385304647136,1.6469440039038674,FALSE
06029003002,5,FY 29/30,775,31000,344.8019603920827,870.0000000000108,870.0000000000108,40985,39.63240924046879,1.8909357081859215,FALSE
06029003002,6,FY 30/31,875,35000,384.00000000000483,870.0000000000108,870.0000000000108,40985,44.13793103448276,2.134927412467976,FALSE
06029003219,1,Current,247.13,9885.199999999999,60.22609810240736,1316.9347487705593,1316.9347487705593,115052,4.573202898521144,0.21479852588394813,FALSE
06029003219,2,FY 26/27,475,19000,102.12963357812501,1316.9347487705593,1316.9347487705593,115052,7.755102040816326,0.4128567951882627,FALSE
06029003219,3,FY 27/28,575,23000,102.12963357812501,1316.9347487705593,1316.9347487705593,115052,7.755102040816326,0.49977401522789694,FALSE
06029003219,4,FY 28/29,675,27000,102.12963357812501,1316.9347487705593,1316.9347487705593,115052,7.755102040816326,0.5866912352675312,FALSE
06029003219,5,FY 29/30,775,31000,104.1009505947904,1316.9347487705593,1316.9347487705593,115052,7.904791842722286,0.6736084553071654,FALSE
06029003219,6,FY 30/31,875,35000,111.98424734443532,1316.9347487705593,1316.9347487705593,115052,8.503401360544217,0.7605256753467997,FALSE
06029002901,1,Current,247.13,9885.199999999999,18.783758375837774,953.0000000000098,953.0000000000099,52483,1.9710134707069862,0.4708762837490235,FALSE
06029002901,2,FY 26/27,475,19000,39.40288057611563,953.0000000000098,953.0000000000099,52483,4.134614960767599,0.9050549701808205,FALSE
06029002901,3,FY 27/28,575,23000,64.6043208641735,953.0000000000098,953.0000000000099,52483,6.779047309986656,1.0955928586399404,FALSE
06029002901,4,FY 28/29,675,27000,105.00520104020912,953.0000000000098,953.0000000000099,52483,11.018384159518156,1.2861307470990606,FALSE
06029002901,5,FY 29/30,775,31000,148.20084016803511,953.0000000000098,953.0000000000099,52483,15.550980080591142,1.4766686355581808,FALSE
06029002901,6,FY 30/31,875,35000,165.0000000000017,953.0000000000098,953.0000000000099,52483,17.31374606505771,1.667206524017301,FALSE
06029003207,1,Current,247.13,9885.199999999999,0,1029.0000000000023,1029.0000000000023,86185,0,0.28674363288275223,FALSE
06029003207,2,FY 26/27,475,19000,59.00000000000013,1029.0000000000023,1029.0000000000023,86185,5.733722060252672,0.5511399895573476,FALSE
06029003207,3,FY 27/28,575,23000,101.60852170434109,1029.0000000000023,1029.0000000000023,86185,9.874491905183758,0.6671694610431049,FALSE
06029003207,4,FY 28/29,675,27000,145.60312062412515,1029.0000000000023,1029.0000000000023,86185,14.149963131596193,0.7831989325288623,FALSE
