GEOID,NAME,overlap_frac,total_hh,hh_count,hh_count_weighted,total_hh_weighted,bracket_order,lower_bound,upper_bound,mhi,mhi_moe
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,89,88.99999999999265,2028.9999999998324,10,50000,59999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,170,169.99999999998596,2028.9999999998324,11,60000,74999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,366,365.99999999996976,2028.9999999998324,12,75000,99999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,295,294.9999999999756,2028.9999999998324,13,100000,124999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,123,122.99999999998984,2028.9999999998324,14,125000,149999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,267,266.99999999997794,2028.9999999998324,15,150000,199999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,506,505.9999999999582,2028.9999999998324,16,200000,NA,117772,24205
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,25,24.252762607477003,1620.0845421794638,1,0,9999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,38,36.86419916336504,1620.0845421794638,2,10000,14999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,0,0,1620.0845421794638,3,15000,19999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,23,22.31254159887884,1620.0845421794638,4,20000,24999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,0,0,1620.0845421794638,5,25000,29999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,7,6.790773530093561,1620.0845421794638,6,30000,34999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,0,0,1620.0845421794638,7,35000,39999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,13,12.61143655588804,1620.0845421794638,8,40000,44999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,34,32.98375714616872,1620.0845421794638,9,45000,49999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,126,122.23392354168409,1620.0845421794638,10,50000,59999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,630,611.1696177084204,1620.0845421794638,11,60000,74999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,118,114.47303950729145,1620.0845421794638,12,75000,99999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,186,180.4405537996289,1620.0845421794638,13,100000,124999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,77,74.69850883102917,1620.0845421794638,14,125000,149999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,174,168.79922774803993,1620.0845421794638,15,150000,199999,73818,14834
06029003210,Census Tract 32.10; Kern County; California,0.9701105042990801,1670,219,212.45420044149853,1620.0845421794638,16,200000,NA,73818,14834
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,10,10.000000000000124,870.0000000000108,1,0,9999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,83,83.00000000000104,870.0000000000108,2,10000,14999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,59,59.00000000000073,870.0000000000108,3,15000,19999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,89,89.00000000000111,870.0000000000108,4,20000,24999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,94,94.00000000000117,870.0000000000108,5,25000,29999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,49,49.00000000000061,870.0000000000108,6,30000,34999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,38,38.00000000000047,870.0000000000108,7,35000,39999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,63,63.00000000000078,870.0000000000108,8,40000,44999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,42,42.000000000000526,870.0000000000108,9,45000,49999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,85,85.00000000000105,870.0000000000108,10,50000,59999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,113,113.0000000000014,870.0000000000108,11,60000,74999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,108,108.00000000000134,870.0000000000108,12,75000,99999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,22,22.000000000000274,870.0000000000108,13,100000,124999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,0,0,870.0000000000108,14,125000,149999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,0,0,870.0000000000108,15,150000,199999,40985,9827
06029003002,Census Tract 30.02; Kern County; California,1.0000000000000124,870,15,15.000000000000187,870.0000000000108,16,200000,NA,40985,9827
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,68,60.919430555372806,1316.9347487705593,1,0,9999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,46,41.2102030227522,1316.9347487705593,2,10000,14999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,0,0,1316.9347487705593,3,15000,19999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,0,0,1316.9347487705593,4,20000,24999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,0,0,1316.9347487705593,5,25000,29999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,11,9.854613766310306,1316.9347487705593,6,30000,34999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,0,0,1316.9347487705593,7,35000,39999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,10,8.958739787554824,1316.9347487705593,8,40000,44999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,20,17.91747957510965,1316.9347487705593,9,45000,49999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,11,9.854613766310306,1316.9347487705593,10,50000,59999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,241,215.90562888007128,1316.9347487705593,11,60000,74999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,5,4.479369893777412,1316.9347487705593,12,75000,99999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,492,440.76999754769736,1316.9347487705593,13,100000,124999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,145,129.90172691954496,1316.9347487705593,14,125000,149999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,346,309.97239664939696,1316.9347487705593,15,150000,199999,115052,15539
06029003219,Census Tract 32.19; Kern County; California,0.8958739787554825,1470,75,67.19054840666118,1316.9347487705593,16,200000,NA,115052,15539
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,19,19.000000000000195,953.0000000000098,1,0,9999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,6,6.000000000000061,953.0000000000098,2,10000,14999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,18,18.000000000000185,953.0000000000098,3,15000,19999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,36,36.00000000000037,953.0000000000098,4,20000,24999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,65,65.00000000000067,953.0000000000098,5,25000,29999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,21,21.000000000000213,953.0000000000098,6,30000,34999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,0,0,953.0000000000098,7,35000,39999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,153,153.00000000000156,953.0000000000098,8,40000,44999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,85,85.00000000000087,953.0000000000098,9,45000,49999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,119,119.00000000000122,953.0000000000098,10,50000,59999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,21,21.000000000000213,953.0000000000098,11,60000,74999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,154,154.00000000000156,953.0000000000098,12,75000,99999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,98,98.000000000001,953.0000000000098,13,100000,124999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,8,8.000000000000082,953.0000000000098,14,125000,149999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,143,143.00000000000145,953.0000000000098,15,150000,199999,52483,32586
06029002901,Census Tract 29.01; Kern County; California,1.0000000000000102,953,7,7.000000000000071,953.0000000000098,16,200000,NA,52483,32586
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,1,0,9999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,59,59.00000000000013,1029.0000000000023,2,10000,14999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,3,15000,19999,86185,9993
